date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-12-23,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-23 [archive import: scored retroactively, not a live reading]",2021-12-23,scoring
2021-12-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-27 [archive import: scored retroactively, not a live reading]",2021-12-27,scoring
2021-12-28,3,0.000,0,up,"NY Fed SRF total accepted 3.0$m on 2021-12-28 [archive import: scored retroactively, not a live reading]",2021-12-28,scoring
2021-12-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-29 [archive import: scored retroactively, not a live reading]",2021-12-29,scoring
2021-12-30,3,0.000,0,up,"NY Fed SRF total accepted 3.0$m on 2021-12-30 [archive import: scored retroactively, not a live reading]",2021-12-30,scoring
2021-12-31,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-12-31 [archive import: scored retroactively, not a live reading]",2021-12-31,scoring
2022-01-03,3,0.000,0,up,"NY Fed SRF total accepted 3.0$m on 2022-01-03 [archive import: scored retroactively, not a live reading]",2022-01-03,scoring
2022-01-04,6,0.001,0,up,"NY Fed SRF total accepted 6.0$m on 2022-01-04 [archive import: scored retroactively, not a live reading]",2022-01-04,scoring
2022-01-05,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-05 [archive import: scored retroactively, not a live reading]",2022-01-05,scoring
2022-01-06,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-06 [archive import: scored retroactively, not a live reading]",2022-01-06,scoring
2022-01-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-07 [archive import: scored retroactively, not a live reading]",2022-01-07,scoring
2022-01-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-10 [archive import: scored retroactively, not a live reading]",2022-01-10,scoring
2022-01-11,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2022-01-11 [archive import: scored retroactively, not a live reading]",2022-01-11,scoring
2022-01-12,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-12 [archive import: scored retroactively, not a live reading]",2022-01-12,scoring
2022-01-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-13 [archive import: scored retroactively, not a live reading]",2022-01-13,scoring
2022-01-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-14 [archive import: scored retroactively, not a live reading]",2022-01-14,scoring
2022-01-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-18 [archive import: scored retroactively, not a live reading]",2022-01-18,scoring
2022-01-19,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-19 [archive import: scored retroactively, not a live reading]",2022-01-19,scoring
2022-01-20,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-20 [archive import: scored retroactively, not a live reading]",2022-01-20,scoring
2022-01-21,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-21 [archive import: scored retroactively, not a live reading]",2022-01-21,scoring
2022-01-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-24 [archive import: scored retroactively, not a live reading]",2022-01-24,scoring
2022-01-25,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-25 [archive import: scored retroactively, not a live reading]",2022-01-25,scoring
