date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-03-09,0.4,0.016,0,up,"Bitstamp settled daily close, worst 0.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-09,scoring
2021-03-10,4,0.160,0,up,"Bitstamp settled daily close, worst 4.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-10,scoring
2021-03-11,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-11,scoring
2021-03-12,9.6,0.384,0,up,"Bitstamp settled daily close, worst 9.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-12,scoring
2021-03-13,2.7,0.108,0,up,"Bitstamp settled daily close, worst 2.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-13,scoring
2021-03-14,2,0.080,0,up,"Bitstamp settled daily close, worst 2.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-14,scoring
2021-03-15,4.4,0.176,0,up,"Bitstamp settled daily close, worst 4.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-15,scoring
2021-03-16,2.2,0.088,0,up,"Bitstamp settled daily close, worst 2.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-16,scoring
2021-03-17,7.7,0.308,0,up,"Bitstamp settled daily close, worst 7.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-17,scoring
2021-03-18,4.9,0.196,0,up,"Bitstamp settled daily close, worst 4.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-18,scoring
2021-03-19,3.7,0.148,0,up,"Bitstamp settled daily close, worst 3.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-19,scoring
2021-03-20,5.9,0.236,0,up,"Bitstamp settled daily close, worst 5.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-20,scoring
2021-03-21,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-21,scoring
2021-03-22,5.9,0.236,0,up,"Bitstamp settled daily close, worst 5.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-22,scoring
2021-03-23,5,0.200,0,up,"Bitstamp settled daily close, worst 5.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-23,scoring
2021-03-24,5.9,0.236,0,up,"Bitstamp settled daily close, worst 5.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-24,scoring
2021-03-25,5,0.200,0,up,"Bitstamp settled daily close, worst 5.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-25,scoring
2021-03-26,4.5,0.180,0,up,"Bitstamp settled daily close, worst 4.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-26,scoring
2021-03-27,1.7,0.068,0,up,"Bitstamp settled daily close, worst 1.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-27,scoring
2021-03-28,1.7,0.068,0,up,"Bitstamp settled daily close, worst 1.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-28,scoring
2021-03-29,7.5,0.300,0,up,"Bitstamp settled daily close, worst 7.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-29,scoring
2021-03-30,8.3,0.332,0,up,"Bitstamp settled daily close, worst 8.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-30,scoring
2021-03-31,2,0.080,0,up,"Bitstamp settled daily close, worst 2.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-03-31,scoring
2021-04-01,7.5,0.300,0,up,"Bitstamp settled daily close, worst 7.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-01,scoring
2021-04-02,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-02,scoring
2021-04-03,8.5,0.340,0,up,"Bitstamp settled daily close, worst 8.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-03,scoring
2021-04-04,9.2,0.368,0,up,"Bitstamp settled daily close, worst 9.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-04,scoring
2021-04-05,3.2,0.128,0,up,"Bitstamp settled daily close, worst 3.2bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-05,scoring
2021-04-06,7.3,0.292,0,up,"Bitstamp settled daily close, worst 7.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-06,scoring
2021-04-07,0.5,0.020,0,up,"Bitstamp settled daily close, worst 0.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-07,scoring
2021-04-08,2.9,0.116,0,up,"Bitstamp settled daily close, worst 2.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-08,scoring
2021-04-09,4.6,0.184,0,up,"Bitstamp settled daily close, worst 4.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-09,scoring
2021-04-10,7.5,0.300,0,up,"Bitstamp settled daily close, worst 7.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-10,scoring
