date,component,value
2026-01-15,Ombai Strait,10
2026-01-15,Oresund Strait,49
2026-01-15,Panama Canal,36
2026-01-15,Strait of Hormuz,78
2026-01-15,Suez Canal,37
2026-01-15,Sunda Strait,21
2026-01-15,Taiwan Strait,267
2026-01-15,Torres Strait,11
2026-01-15,Tsugaru Strait,60
2026-01-15,Windward Passage,8
2026-01-15,Yucatan Channel,38
2026-01-16,Bab el-Mandeb Strait,37
2026-01-16,Balabac Strait,11
2026-01-16,Bering Strait,0
2026-01-16,Bohai Strait,151
2026-01-16,Bosporus Strait,107
2026-01-16,Cape of Good Hope,85
2026-01-16,Dover Strait,176
2026-01-16,Gibraltar Strait,166
2026-01-16,Kerch Strait,14
2026-01-16,Korea Strait,226
2026-01-16,Lombok Strait,32
2026-01-16,Luzon Strait,73
2026-01-16,Magellan Strait,3
2026-01-16,Makassar Strait,47
2026-01-16,Malacca Strait,253
2026-01-16,Mindoro Strait,58
2026-01-16,Mona Passage,6
2026-01-16,Ombai Strait,12
2026-01-16,Oresund Strait,46
2026-01-16,Panama Canal,35
2026-01-16,Strait of Hormuz,67
2026-01-16,Suez Canal,51
2026-01-16,Sunda Strait,41
2026-01-16,Taiwan Strait,275
2026-01-16,Torres Strait,5
2026-01-16,Tsugaru Strait,47
2026-01-16,Windward Passage,16
2026-01-16,Yucatan Channel,51
2026-01-17,Bab el-Mandeb Strait,27
2026-01-17,Balabac Strait,7
2026-01-17,Bering Strait,0
2026-01-17,Bohai Strait,185
2026-01-17,Bosporus Strait,88
2026-01-17,Cape of Good Hope,88
2026-01-17,Dover Strait,171
2026-01-17,Gibraltar Strait,142
2026-01-17,Kerch Strait,4
2026-01-17,Korea Strait,169
2026-01-17,Lombok Strait,49
2026-01-17,Luzon Strait,63
2026-01-17,Magellan Strait,2
2026-01-17,Makassar Strait,54
2026-01-17,Malacca Strait,246
2026-01-17,Mindoro Strait,50
2026-01-17,Mona Passage,18
2026-01-17,Ombai Strait,10
2026-01-17,Oresund Strait,64
2026-01-17,Panama Canal,33
2026-01-17,Strait of Hormuz,48
